sentence,entities,entities_spans,label
Hyperammonemia secondary to valproic acid as a cause of lethargy in a postictal patient.,"[('valproic acid', 'DRUG'), ('Hyperammonemia', 'DISE')]","[(28, 41, 'DRUG'), (0, 14, 'DISE')]",1
l  Listeria Infections  Altertive for treatment of LISTERIOSIS caused by  LISTERIA MONOCYTOGENES,"[('LISTERIOSIS', 'DISE'), ('LISTERIA MONOCYTOGENES', 'SYMP')]","[(53, 64, 'DISE'), (76, 98, 'SYMP')]",1
Reversible MR imaging and MR spectroscopy abnormalities in association with metronidazole therapy.,"[('metronidazole', 'DRUG'), ('Reversible MR imaging and MR spectroscopy abnormalities', 'DISE')]","[(76, 89, 'DRUG'), (0, 55, 'DISE')]",1
"With the negative viral serologies, the clinical picture was most consistent with an infectious mononucleosis-like syndrome produced by the minocycline ingestion.","[(' minocycline', 'DRUG'), ('mononucleosis-like syndrome', 'DISE')]","[(139, 151, 'DRUG'), (96, 123, 'DISE')]",1
"And for GLAUCOMATOUS PAINFUL BLIND EYE and some cases of GLAUCOMA Cyclocryotherapy for ciliary body ablation could be considered to be performed.28 edit Veteriry implant  TR BioSurgical has commercialized a new implant specifically for veteriry medicine, called TR ClarifEYE.","[('GLAUCOMATOUS PAINFUL BLIND EYE', 'DISE'), ('GLAUCOMA', 'DRUG')]","[(8, 38, 'DISE'), (8, 16, 'DRUG')]",0
"Sixty liver patients (ACUTE VIRAL HEPATITIS alcoholic fatty LIVER and liver cirrhosis), without overt rel disease, have been studied and compared to controls.","[('LIVER', 'DISE'), ('ACUTE VIRAL HEPATITIS', 'DRUG')]","[(60, 65, 'DISE'), (22, 43, 'DRUG')]",0
VOCAL AND MOTOR TICS that begin early in life and then wax and wane are prominent features of TOURETTE SYNDROME (TS.,"[('VOCAL AND MOTOR TICS', 'DISE'), ('TOURETTE SYNDROME', 'SYMP')]","[(0, 20, 'DISE'), (94, 111, 'SYMP')]",1
Oxygen potentiation of bleomycin-induced pulmonary toxicity is discussed.,"[('bleomycin', 'DRUG'), ('pulmonary toxicity', 'DISE')]","[(23, 32, 'DRUG'), (41, 59, 'DISE')]",1
"Mast cells reside in connective tissues and MUCOUS MEMBRANEs, and regulate the INFLAMMATORY RESPONSE.","[('MUCOUS MEMBRANE', 'DISE'), ('INFLAMMATORY RESPONSE', 'DRUG')]","[(44, 59, 'DISE'), (79, 100, 'DRUG')]",2
We report the first case of a 54-year-old Turkish woman who presented with ceftriaxone-induced FDE.,"[('ceftriaxone', 'DRUG'), ('FDE', 'DISE')]","[(75, 86, 'DRUG'), (95, 98, 'DISE')]",1
"B  Specific recommendation: • Advise women with prolactin secreting microadenomas who are taking cabergoline to consider switching to bromocriptine, and then to withdraw BROMOCRIPTINE at the time of the first missed menses and subsequent confirmation of PREGNCY","[('PREGNCY', 'DISE'), ('BROMOCRIPTINE', 'DRUG')]","[(254, 270, 'DISE'), (170, 183, 'DRUG')]",0
"A 10-year-old boy with osteosarcoma and normal renal function manifested laboratory evidence of impending renal toxicity and extreme elevation of aspartate aminotrasferase and alanine aminotransferase within 2 hours after the completion of a 4-hour infusion of high-dose methotrexate (MTX) (12 g/m2), and went on to develop acute renal failure with life-threatening hyperkalemia 29 hours later.","[('methotrexate', 'DRUG'), ('acute renal failure', 'DISE')]","[(271, 283, 'DRUG'), (324, 343, 'DISE')]",1
BOTULISM  BOTULISM is neuromuscular poisoning from  CLOSTRIDIUM BOTULINUM  TOXIN,"[('BOTULISM', 'DISE'), ('CLOSTRIDIUM BOTULINUM  TOXIN', 'SYMP')]","[(0, 8, 'DISE'), (52, 80, 'SYMP')]",1
We report two new cases of sarcoidosis in two patients with hepatitis C virus infection treated with interferon alfa and ribavirin.,"[('ribavirin', 'DRUG'), ('sarcoidosis', 'DISE')]","[(121, 130, 'DRUG'), (27, 38, 'DISE')]",1
The risk of colon cancer is extreme in the rare COLON CANCER syndromes of FAMILIAL ADENOMATOUS POLYPOSIS and hereditary nonpolyposis colon cancer.,"[('COLON CANCER', 'DISE'), ('FAMILIAL ADENOMATOUS POLYPOSIS', 'SYMP')]","[(48, 60, 'DISE'), (74, 104, 'SYMP')]",1
"retinotomy    (                  audio )  Surgical incision of the RETI e.g., to remove proliferating blood vessels in AGE RELATED MACULAR DEGENERATION","[('RETI', 'DISE'), ('AGE RELATED MACULAR DEGENERATION', 'DRUG')]","[(67, 73, 'DISE'), (121, 161, 'DRUG')]",0
"DYSRHYTHMIA should be treated with atropine, ANTIARRHYTHMIC AGENTS, and a temporary pacemaker, in order to avoid lethal results","[('DYSRHYTHMIA', 'DISE'), ('ANTIARRHYTHMIC AGENTS', 'DRUG')]","[(0, 11, 'DISE'), (45, 66, 'DRUG')]",2
"We present two cases in which both patients suffered with CLS, which we believe was caused following administration of granulocyte colony-stimulating factor, to our knowledge not described in the intensive care patient previously.","[('granulocyte colony-stimulating factor', 'DRUG'), ('CLS', 'DISE')]","[(119, 156, 'DRUG'), (58, 61, 'DISE')]",1
"Five large controlled multicenter multicountry clinical trials have been conducted with misoprostol, including double blind placebo controlled comparisons of misoprostol in two duodel ulcer studies and one gastric ulcer study, and double blind comparisons of two doses of MISOPROSTOL and cimetidine in duodel ulcer and GASTRIC ULCER studies.","[('GASTRIC ULCER', 'DISE'), ('MISOPROSTOL', 'DRUG')]","[(323, 336, 'DISE'), (274, 285, 'DRUG')]",2
Vancomycin-induced vasculitis.,"[('Vancomycin', 'DRUG'), ('vasculitis', 'DISE')]","[(0, 10, 'DRUG'), (19, 29, 'DISE')]",1
"Acyclovir is licensed FOR TREATMENT OF VARICELLA AND HERPES ZOSTER and acyclovir, valACYCLOVIR and famciclovir are approved for herpes zoster.","[('FOR TREATMENT OF VARICELLA AND HERPES ZOSTER', 'DISE'), ('ACYCLOVIR', 'DRUG')]","[(22, 66, 'DISE'), (85, 94, 'DRUG')]",2
The use of multiple drug regimes for the treatment of TUBERCULOSIS is restricted because of the degradation of Rifampicin in the presence of ISONIAZID,"[('TUBERCULOSIS', 'DISE'), ('ISONIAZID', 'DRUG')]","[(54, 66, 'DISE'), (141, 158, 'DRUG')]",2
NexMed is developing transdermal formulations - ALPROX-TDfor men with ERECTILE DYSFUNCTION and Femproxfor female sexual arousal disorder.,"[('ERECTILE DYSFUNCTION', 'DISE'), ('ALPROX', 'DRUG')]","[(70, 90, 'DISE'), (48, 54, 'DRUG')]",2
"Differential Diagnosis of Parkinson's Disease  Normal;           Differential Diagnosis of Parkinson's Disease Disease  Characteristics  Notes MULTIPLE SYSTEM ATROPHY  May occur with PARKINSONIAN (MSA P), autonomic (MSA A), or cerebellar features (MSA C), or with any combition of the three.","[('MULTIPLE SYSTEM ATROPHY', 'DISE'), ('PARKINSONIAN', 'SYMP')]","[(143, 166, 'DISE'), (183, 195, 'SYMP')]",1
"BC  Specific recommendation: • Consider underlying SLE mixed connective tissue disease, RHEUMATOID ARTHRITIS and other collagen vascular diseases as possible causes of pleuritic chest pain.","[('RHEUMATOID ARTHRITIS', 'DISE'), ('SLE', 'DRUG')]","[(88, 108, 'DISE'), (51, 54, 'DRUG')]",0
"A controlled prospective study compared the performance of 14 patients with dementia of Alzheimer type (DAT) and 14 patients with HUNTINGTON'S DISEASE (HD), who were matched for overall level of DEMENTIA, on a battery of semantic and episodic memory tests","[('DEMENTIA', 'DISE'), (""HUNTINGTON'S DISEASE"", 'SYMP')]","[(195, 203, 'DISE'), (130, 150, 'SYMP')]",1
"Both normal, NON EPILEPTIC as well as SEIZURE PRONE RODENTS exhibit a spectrum of anxiogenic like behaviors in response to stressor exposure.","[('SEIZURE PRONE RODENTS', 'DISE'), ('NON EPILEPTIC', 'DRUG')]","[(38, 59, 'DISE'), (13, 26, 'DRUG')]",0
"In a randomized, controlled clinical trial of 12 cardiac surgery patients, ESMOLOL safely and effectively controlled POSTOPERATIVE HYPERTENSION ( 102.","[('POSTOPERATIVE HYPERTENSION', 'DISE'), ('ESMOLOL', 'DRUG')]","[(117, 143, 'DISE'), (75, 82, 'DRUG')]",2
Patient A reported right leg weakness (foot drop) during week 4 of CAP-XRT (1600 mg/m2).,"[('CAP-XRT', 'DRUG'), ('right leg weakness', 'DISE')]","[(67, 74, 'DRUG'), (19, 37, 'DISE')]",1
"c  Common Adverse Effects  0.5% solution: Discomfort, hyperemia, pruritus, tearing, lid edema, dry mouth, foreign body sensation, blanching, blurred vision, CONJUNCTIVITIS discharge, DRY EYE","[('DRY EYE', 'DISE'), ('CONJUNCTIVITIS', 'SYMP')]","[(183, 190, 'DISE'), (157, 171, 'SYMP')]",1
Trimethoprim-sulfamethoxazole-induced hypersensitivity syndrome associated with reactivation of human herpesvirus-6.,"[('Trimethoprim-sulfamethoxazole', 'DRUG'), ('hypersensitivity syndrome', 'DISE')]","[(0, 29, 'DRUG'), (38, 63, 'DISE')]",1
WILMS' TUMOR is a pediatric MALIGNCY OF THE KIDNEY,"[('MALIGNCY OF THE KIDNEY', 'DISE'), (""WILMS' TUMOR"", 'DRUG')]","[(28, 59, 'DISE'), (0, 12, 'DRUG')]",0
Safety and efficacy of controlled release MESALAMINE for maintence of remission in ULCERATIVE COLITIS,"[('ULCERATIVE COLITIS', 'DISE'), ('MESALAMINE', 'DRUG')]","[(85, 107, 'DISE'), (42, 52, 'DRUG')]",2
"The toxic effects of methotrexate included elevated liver transaminases (3/4), nausea (2/4), abdominal pain (2/4), bone pain (2/4), mild neutropenia (1/4), and mild pruritus (1/4).","[('methotrexate', 'DRUG'), ('mild neutropenia', 'DISE')]","[(21, 33, 'DRUG'), (132, 148, 'DISE')]",1
ASPIRIN or other nonsteroidal anti inflammatory agents may reduce inflammation and PAIN,"[('PAIN', 'DISE'), ('ASPIRIN', 'DRUG')]","[(83, 94, 'DISE'), (0, 7, 'DRUG')]",2
We report the first case of chlorambucil-induced DRESS syndrome in a 70-year-old man recently diagnosed with chronic lymphocytic leukaemia.,"[('chlorambucil', 'DRUG'), ('DRESS syndrome', 'DISE')]","[(28, 40, 'DRUG'), (49, 63, 'DISE')]",1
"A 44-year-old woman is described in whom amiodarone, disopyramide, and quinidine, administered alone separately, induced atypical ventricular tachycardia (AVT, torsade de pointes).","[('quinidine', 'DRUG'), ('atypical ventricular tachycardia', 'DISE')]","[(71, 80, 'DRUG'), (121, 153, 'DISE')]",1
"The day after clozapine was stopped, while he was still receiving clomipramine 150 mg/d, he began behaving oddly, started sweating profusely, shivering, and became tremulous, agitated, and confused.","[('clozapine', 'DRUG'), ('sweating profusely', 'DISE')]","[(14, 23, 'DRUG'), (122, 140, 'DISE')]",1
The parasitic FALLOPIAN TUBE INFECTION may have predisposed the FALLOPIAN TUBES to a microbial tuboovarian abscess.,"[('FALLOPIAN TUBES', 'DISE'), ('FALLOPIAN TUBE INFECTION', 'DRUG')]","[(64, 79, 'DISE'), (14, 38, 'DRUG')]",0
SMZL is characterized by an INDOLENT CLINICAL COURSE and no previous report has described SMZL with bilateral rel invasion.,"[('SMZL', 'DISE'), ('INDOLENT CLINICAL COURSE', 'SYMP')]","[(0, 4, 'DISE'), (28, 51, 'SYMP')]",1
"Farr PM, Shuster S. Treatment of SEBORRHOEIC DERMATITIS with TOPICAL KETOCOZOLE","[('SEBORRHOEIC DERMATITIS', 'DISE'), ('TOPICAL KETOCOZOLE', 'DRUG')]","[(33, 55, 'DISE'), (61, 89, 'DRUG')]",2
"Quercetin is the major polyphenolic flavonoid found in food products, including berries, apples, cauliflower, tea, cabbage, nuts, and onions that have traditionally been treated as anticancer and antiviral, and used for the treatment of allergic, metabolic, and inflammatory disorders, eye and cardiovascular diseases, and arthritis.","[('cabbage', 'FOOD'), ('allergic', 'DISE')]","[(115, 122, 'FOOD'), (237, 245, 'DISE')]",2
Infectious salmon anaemia (ISA) can be a serious viral disease of farmed Atlantic salmon (Salmo salar).,"[('Infectious salmon anaemia', 'DISE'), ('Salmo salar', 'FOOD')]","[(0, 25, 'DISE'), (90, 101, 'FOOD')]",0
"MICROANGIOPATHIC HEMOLYSIS neutrophilic leukocytosis, and a negative direct Coombs test (direct antiglobulin test) strongly suggest TTP or HUS","[('MICROANGIOPATHIC HEMOLYSIS', 'DISE'), ('HUS', 'SYMP')]","[(0, 26, 'DISE'), (139, 142, 'SYMP')]",1
DRUG INDUCED PHOTOSENSITIVITY: Individuals using certain DRUGS or other chemicals may develop dermatitis or sunburn after exposure to light of an intensity or duration that normally would not have affected them.,"[('DRUG INDUCED PHOTOSENSITIVITY', 'DISE'), ('DRUGS', 'SYMP')]","[(0, 29, 'DISE'), (57, 62, 'SYMP')]",1
Frequently medications such as an Epinephrine pen or an Antihistamine such as DIPHENHYDRAMINE are prescribed by an allergist in case of ACCIDENTAL INGESTION.,"[('ACCIDENTAL INGESTION', 'DISE'), ('DIPHENHYDRAMINE', 'DRUG')]","[(136, 156, 'DISE'), (78, 93, 'DRUG')]",2
"exanthema , eruption] Any eruption or RASH that appears on the SKIN as opposed to one that appears on the mucous membranes (enthem.","[('SKIN', 'DISE'), ('RASH', 'SYMP')]","[(63, 67, 'DISE'), (38, 42, 'SYMP')]",0
"Diets characterized by high intakes of refined sugars, salt, animal-derived proteins and fats and by low intakes of fruit and vegetables are associated with a higher risk of AD and can perturb the circadian modulation of cortisol secretion, which is associated with poor sleep quality.","[('salt', 'FOOD'), ('AD', 'DISE')]","[(55, 59, 'FOOD'), (174, 176, 'DISE')]",1
"DERMATITIS resulting from irritation or sensitization of the SKIN by urushiol, the toxic resin of the Rhus (Toxicodendron) family of plants.","[('SKIN', 'DISE'), ('DERMATITIS', 'DRUG')]","[(61, 65, 'DISE'), (0, 10, 'DRUG')]",0
"However, SYSTEMIC MONTELUKAST as expected, provided better relief for symptoms distant from the sal cavity such as OCULAR ITCHING and throat/palate itching.","[('OCULAR ITCHING', 'DISE'), ('SYSTEMIC MONTELUKAST', 'DRUG')]","[(117, 131, 'DISE'), (9, 29, 'DRUG')]",2
"We report a case of a 60-year-old woman affected by squamous lung carcinoma, who developed paroxysmal supraventricular tachycardia during cisplatin and etoposide combination chemotherapy.","[('cisplatin', 'DRUG'), ('paroxysmal supraventricular tachycardia', 'DISE')]","[(138, 147, 'DRUG'), (91, 130, 'DISE')]",1
"Plewig G, Braun Falco O, Klovekorn W et al. Isotretinoin in local treatment of ACNE and rosacea and animal experiment studies on ISOTRETINOIN and arotinoid.","[('ACNE', 'DISE'), ('ISOTRETINOIN', 'DRUG')]","[(79, 83, 'DISE'), (129, 141, 'DRUG')]",2
"Although such numbers represent only about 1% of the estimated 60 million Americans with HYPERTENSION, HYPERTENSIVE CRISIS often constitutes a major medical emergency, necessitating a focused, assertive, and reasoned therapeutic intervention","[('HYPERTENSIVE CRISIS', 'DISE'), ('HYPERTENSION', 'SYMP')]","[(103, 122, 'DISE'), (89, 101, 'SYMP')]",1
She developed a severe urticarial rash 3 weeks following initiation of therapy with Enoxaparin.,"[('Enoxaparin', 'DRUG'), ('severe urticarial rash', 'DISE')]","[(84, 94, 'DRUG'), (16, 38, 'DISE')]",1
Ovarian endometrioid carcinoma and endometriosis developing in a postmenopausal breast cancer patient during tamoxifen therapy: a case report and review of the literature.,"[('tamoxifen', 'DRUG'), ('endometriosis', 'DISE')]","[(109, 118, 'DRUG'), (35, 48, 'DISE')]",1
"For example, KIDNEY FAILURE is rapid in diabetic nephropathy, intermediate in POLYCYSTIC KIDNEY DISEASE and slow in lithium nephropathy.","[('KIDNEY FAILURE', 'DISE'), ('POLYCYSTIC KIDNEY DISEASE', 'SYMP')]","[(13, 26, 'DISE'), (78, 103, 'SYMP')]",1
"ADDITIOL RESOURCES  Article  Alimentary Pharmacology & Therapeutics  Ten year combition treatment with COLCHICINE and ursodeoxycholic acid for primary biliary cirrhosis: a double blind, placebo controlled trial on symptomatic patients  American Jourl of Gastroenterology  Incomplete response to ursodeoxycholic acid in PRIMARY BILIARY CIRRHOSIS: is a double dosage worthwhile.","[('PRIMARY BILIARY CIRRHOSIS', 'DISE'), ('COLCHICINE', 'DRUG')]","[(325, 350, 'DISE'), (107, 117, 'DRUG')]",2
Acute dystonia during pegylated interferon alpha therapy in a case with chronic hepatitis B infection.,"[('pegylated interferon alpha', 'DRUG'), ('Acute dystonia', 'DISE')]","[(22, 48, 'DRUG'), (0, 14, 'DISE')]",1
Bisphosphonate-related osteonecrosis of the jaw (BRONJ) is reported in up to 18.6% of patients treated with intravenous bisphosphonates and can result in significant morbidity.,"[('Bisphosphonate', 'DRUG'), ('osteonecrosis of the jaw', 'DISE')]","[(0, 14, 'DRUG'), (23, 47, 'DISE')]",1
An 11-day-old infant became lethargic and apneic after a single drop of brimonidine.,"[('brimonidine', 'DRUG'), ('apneic', 'DISE')]","[(72, 83, 'DRUG'), (42, 48, 'DISE')]",1
"2]  Hemachudha T, Wacharapluesadee S, Lumlertdaecha B, Orciari L A, Rupprecht CE, La Ongpant M, et al. Sequence alysis of RABIES VIRUS in humans exhibiting encephalitic or PARALYTIC RABIES","[('PARALYTIC RABIES', 'DISE'), ('RABIES VIRUS', 'SYMP')]","[(174, 190, 'DISE'), (124, 136, 'SYMP')]",1
"ANXIETY, tremor and depression have been documented in a case report following administration of NITRAZEPAM and triazolam.","[('ANXIETY', 'DISE'), ('NITRAZEPAM', 'SYMP')]","[(0, 7, 'DISE'), (97, 107, 'SYMP')]",1
"The patient completed a 10-month follow-up, maintaining a complete resolution of the treated skin lesions; however, the development of a painful hand ulcer, possibly associated with the hydroxyurea, and new skin cancers were observed at the last follow-up visit.","[('hydroxyurea', 'DRUG'), ('skin cancers', 'DISE')]","[(186, 197, 'DRUG'), (207, 219, 'DISE')]",1
EOSINOPHILIC PNEUMONIA often occurs in response to infection with a PARASITE or after exposure to certain types of environmental factors.,"[('EOSINOPHILIC PNEUMONIA', 'DISE'), ('PARASITE', 'SYMP')]","[(0, 22, 'DISE'), (68, 76, 'SYMP')]",1
"Rarely, a patient with AML develops A SOLID MASS OF LEUKEMIA CELLS called a GRANULO CYTIC OR MYELOID SARCOMA (chloroma.","[('A SOLID MASS OF LEUKEMIA CELLS', 'DISE'), ('GRANULO CYTIC OR MYELOID SARCOMA', 'SYMP')]","[(36, 66, 'DISE'), (76, 108, 'SYMP')]",1
"In rare cases mitomycin C (MMC) may induce cancer-associated hemolytic uremic syndrome, which is characterized by hemolytic anemia, thrombocytopenia and progressive renal failure.","[('mitomycin C', 'DRUG'), ('hemolytic anemia', 'DISE')]","[(14, 25, 'DRUG'), (114, 130, 'DISE')]",1
"ATOPIC RESPIRATORY DISEASES such as ALLERGIC RHINITIS and asthma represent the effects of an immunological response to allergens, mediated through immunoglobulins E. Development of a clinically significant atopic reaction depends on environmental exposure.","[('ALLERGIC RHINITIS', 'DISE'), ('ATOPIC RESPIRATORY DISEASES', 'DRUG')]","[(36, 53, 'DISE'), (0, 27, 'DRUG')]",0
Thrombotic thrombocytopenic purpura induced by trimethoprim-sulfamethoxazole in a Jehovah's Witness.,"[('trimethoprim', 'DRUG'), ('Thrombotic thrombocytopenic purpura', 'DISE')]","[(47, 59, 'DRUG'), (0, 35, 'DISE')]",1
Further alysis of abnormal expression in infertile male patients revealed complete absence of NYD SP16 in the TESTES of patients with Sertoli cell only syndrome and variable expression in patients with SPERMATOGENIC ARREST,"[('TESTES', 'DISE'), ('SPERMATOGENIC ARREST', 'DRUG')]","[(112, 118, 'DISE'), (204, 231, 'DRUG')]",0
"As hypomagnesia is a common cause of VT, stat dose MAGNESIUM SULPHATE can be given for TORSADES or if hypomagnesemia is found/suspected.","[('TORSADES', 'DISE'), ('MAGNESIUM SULPHATE', 'DRUG')]","[(87, 95, 'DISE'), (51, 69, 'DRUG')]",2
"Prins MH, Hirsh JHEPARIN as an adjunctive treatment after thrombolytic therapy for ACUTE MYOCARDIAL INFARCTION","[('ACUTE MYOCARDIAL INFARCTION', 'DISE'), ('HEPARIN', 'DRUG')]","[(83, 117, 'DISE'), (17, 24, 'DRUG')]",2
Loa loa  encephalopathy temporally related to IVERMECTIN administration reported from ONCHOCERCIASIS mass treatment programs from 1989 to 2001: implications for the future.,"[('ONCHOCERCIASIS', 'DISE'), ('IVERMECTIN', 'DRUG')]","[(86, 100, 'DISE'), (46, 56, 'DRUG')]",2
fever with rel syndrome     An ARTHROPOD BORNE VIRAL DISEASE caused by Hanta virus or related VIRUSES,"[('ARTHROPOD BORNE VIRAL DISEASE', 'DISE'), ('VIRUSES', 'SYMP')]","[(33, 62, 'DISE'), (96, 103, 'SYMP')]",1
Three senile patients developed fatal acute encephalopathy while receiving calcium hopantenate.,"[('calcium hopantenate', 'DRUG'), ('fatal acute encephalopathy', 'DISE')]","[(75, 94, 'DRUG'), (32, 58, 'DISE')]",1
"If gout is suspected, fluid from the involved joint(s) should be examined for crystals  CHRONIC TOPHACEOUS GOUT may involve the distal interphalangeal and PROXIMAL INTERPHALANGEAL JOINTS and first metatarsophalangeal joint causing angulation deformities and bony enlargement akin to osteoarthritis.","[('PROXIMAL INTERPHALANGEAL JOINTS', 'DISE'), ('CHRONIC TOPHACEOUS GOUT', 'SYMP')]","[(155, 186, 'DISE'), (88, 111, 'SYMP')]",1
Hemolytic uremic syndrome following the infusion of oxaliplatin: case report.,"[('oxaliplatin', 'DRUG'), ('Hemolytic uremic syndrome', 'DISE')]","[(52, 63, 'DRUG'), (0, 25, 'DISE')]",1
Hoku acupuncture also increased palm temperature suggesting that the BLOOD FLOW INCREASED from CUTANEOUS VESSEL VASODILATION.,"[('CUTANEOUS VESSEL VASODILATION', 'DISE'), ('BLOOD FLOW INCREASED', 'DRUG')]","[(95, 124, 'DISE'), (69, 89, 'DRUG')]",0
"Negrier S, Caty A, Lesimple T et al. Treatment of patients with METASTATIC REL CARCINOMA with a combition of subcutaneous interleukin 2 and INTERFERON ALFA with or without fluorouracil.","[('METASTATIC REL CARCINOMA', 'DISE'), ('INTERFERON ALFA', 'DRUG')]","[(64, 90, 'DISE'), (144, 159, 'DRUG')]",2
"Mutations in the valosin containing protein (VCP) on chromosome 9p13 p12 were recently found to be associated with HEREDITARY INCLUSION BODY MYOPATHY PAGET DISEASE of the bone, and frontotemporal DEMENTIA (IBMPFD)","[('HEREDITARY INCLUSION BODY MYOPATHY PAGET DISEASE', 'DISE'), ('DEMENTIA (IBMPFD)', 'DRUG')]","[(115, 163, 'DISE'), (196, 221, 'DRUG')]",0
"STUDY SELECTION  Studies were selected if they were randomized controlled trials (RCTs) evaluating WARFARIN aspirin, combined low dose warfarin and aspirin, low molecular weight heparin, or indobufen for prevention of THROMBOEMBOLISM in AF or atrial flutter and if the outcomes were stroke, major bleeding, or death.","[('THROMBOEMBOLISM', 'DISE'), ('WARFARIN', 'DRUG')]","[(218, 233, 'DISE'), (99, 107, 'DRUG')]",2
In addition DIAZEPAM has been shown to be able to substitute for the behavioural effects of BARBITURATEs in a primate study.,"[('BARBITURATE', 'DISE'), ('DIAZEPAM', 'DRUG')]","[(92, 103, 'DISE'), (12, 20, 'DRUG')]",0
The clinical findings and laboratory studies suggested an autoimmune cell-mediated hypersensitivity reaction triggered by phenobarbital.,"[('phenobarbital', 'DRUG'), ('autoimmune cell-mediated hypersensitivity', 'DISE')]","[(122, 135, 'DRUG'), (58, 99, 'DISE')]",1
24  CLOSTRIDIUM INFECTIONS  Treatment of infections caused by  CLOSTRIDIUM PERFRINGENS    +   ; altertive to penicillin G for those with penicillin hypersensitivity or for polymicrobial infections.,"[('CLOSTRIDIUM INFECTIONS', 'DISE'), ('CLOSTRIDIUM PERFRINGENS', 'SYMP')]","[(4, 26, 'DISE'), (63, 86, 'SYMP')]",1
"CONCLUSIONS: In our reported case, a local hyperproduction of TNF-alpha from macrophages that was induced by the injected insulin could explain the dedifferentiation of the adipocytes of the subcutaneous tissue and the reversion that was induced by the local injection of dexamethasone.","[('insulin', 'DRUG'), ('dedifferentiation of the adipocytes', 'DISE')]","[(122, 129, 'DRUG'), (148, 183, 'DISE')]",1
A 57-year-old man developed morphea while taking bromocriptine.,"[('bromocriptine', 'DRUG'), ('morphea', 'DISE')]","[(49, 62, 'DRUG'), (28, 35, 'DISE')]",1
"Itching suggests an allergic cause; sal pain suggests dacryocystitis; constant foreign body sensation suggests a corneal foreign body, corneal abrasion, corneal ulcer, or trichiasis; intermittent foreign body sensation suggests DRY EYES; other symptoms (eg, photophobia) suggest UVEITIS or keratitis.","[('DRY EYES', 'DISE'), ('UVEITIS', 'SYMP')]","[(230, 238, 'DISE'), (281, 288, 'SYMP')]",1
"A macrophage activation syndrome, possibly related to methotrexate toxicity, developed in a boy with systemic juvenile rheumatoid arthritis.","[('methotrexate', 'DRUG'), ('macrophage activation syndrome', 'DISE')]","[(54, 66, 'DRUG'), (2, 32, 'DISE')]",1
Acute myocardial infarction during high-dose methylprednisolone therapy for Graves' ophthalmopathy.,"[('methylprednisolone', 'DRUG'), ('Acute myocardial infarction', 'DISE')]","[(45, 63, 'DRUG'), (0, 27, 'DISE')]",1
"Oregano oil was found to specifically inhibit lentiviruses, such as human and simian immunodeficiency viruses (HIV and SIV), irrespective of virus tropism, but not hepatitis C virus, adenovirus 5 (ADV5), Zika virus, and influenza (H1N1) virus.","[('Oregano oil', 'FOOD'), ('hepatitis C', 'DISE')]","[(0, 11, 'FOOD'), (164, 175, 'DISE')]",0
Disseminated eruptive giant mollusca contagiosa in an adult psoriasis patient during efalizumab therapy.,"[('efalizumab', 'DRUG'), ('Disseminated eruptive giant mollusca contagiosa', 'DISE')]","[(85, 95, 'DRUG'), (0, 47, 'DISE')]",1
PENTOBARBITAL INDUCED COMA has been advocated in patients with acute liver failure refractory to MANNITOL,"[('PENTOBARBITAL INDUCED COMA', 'DISE'), ('MANNITOL', 'DRUG')]","[(0, 26, 'DISE'), (97, 113, 'DRUG')]",2
Prior reports have emphasized the tubular and interstitial lesions associated with intermittent or discontinuous rifampin therapy for tuberculosis.,"[('rifampin', 'DRUG'), ('tubular and interstitial lesions', 'DISE')]","[(113, 121, 'DRUG'), (34, 66, 'DISE')]",1
Diacetyl-containing butter flavor was identified as the cause of an outbreak of bronchiolitis obliterans (BO) and other lung diseases in popcorn-plant workers.,"[('Diacetyl-containing butter flavor', 'FOOD'), ('bronchiolitis obliterans', 'DISE')]","[(0, 33, 'FOOD'), (80, 104, 'DISE')]",1
"Prevention of diabetes through the diet has recently received an increasing interest, and polyphenolic compounds, such as flavanols, have become important potential chemopreventive natural agents due to their proved benefits on health, with low toxicity and cost.","[('diabetes', 'DISE'), ('diet', 'FOOD')]","[(14, 22, 'DISE'), (35, 39, 'FOOD')]",2
One of the subjects who was using extemporaneous topical minoxidil had hypertension and arteriosclerotic disease and the other died of a myocardial infarction.,"[('minoxidil', 'DRUG'), ('myocardial infarction', 'DISE')]","[(57, 66, 'DRUG'), (137, 158, 'DISE')]",1
"B  Specific Recommendation: ? Review the list of medications that should be discontinued before conception: ? Isotretinoin ? Methotrexate ? Thalidomide ? DES ? Misoprostol ? Penicillamine ? Gold ? Etretite or acitretin ? Review the list of medications that should be discontinued immediately with diagnosis of pregncy and substituted with altertives preferred in PREGNCY ? ACE inhibitors ? TETRACYCLINE ? Coumadin ? Methimazole ? Trimethadione  Ratiole: ? These are all medications with known teratogenic effects used for nonessential indications (e.g., acne) or for which there are safer altertives in pregncy.","[('TETRACYCLINE', 'DISE'), ('PREGNCY', 'DRUG')]","[(398, 410, 'DISE'), (369, 378, 'DRUG')]",0
"Among patients who do not use ILLICIT DRUGs and have a FEVER in the emergency room, there is a less than 5% chance of occult endocarditis.","[('FEVER', 'DISE'), ('ILLICIT DRUG', 'DRUG')]","[(55, 60, 'DISE'), (30, 42, 'DRUG')]",0
